id,rank,fighter,dojo,district,birth_date,height,weight,Lat,Lng
39,M16e,Wakanosato,Tagonoura,Aomori,7/10/76,184,161,40.77555,140.5178517
6018,M13e,Homasho,Shikoroyama,Yamaguchi,4/16/81,185,149,35.5891521,139.2854104
6767,M15e,Tochinowaka,Kasugano,Hyogo,4/6/88,196,181,37.1520331,138.2314092
7115,M16w,Tosayutaka,Tokitsukaze,Kochi,3/10/85,178,140.8,35.6937382,139.7945024
2851,M13e,Fujiazuma,Tamanoi,Tokyo,4/19/87,182,183.6,37.5447602,140.3378622
41,M11w,Kyokutenho,Tomozuna,Mongolia,9/13/74,191,156,33.5948329,130.3595555
2929,M9w,Kagamio,Kagamiyama,Mongolia,2/9/88,182,136,34.4016318,132.7247156
2818,M14w,Tokitenku,Tokitsukaze,Mongolia,9/10/79,186,143,35.6937382,139.7945024
1009,M16e,Asasekiryu,Takasago,Mongolia,8/7/81,184,145,34.7661005,134.7906014
11971,M14e,Jokoryu,Kise,Tokyo,8/7/88,187,162.4,26.5334687,127.9413748
5985,M15e,Satoyama,Onoe,Kagoshima,5/31/81,177,121,35.1707418,136.8964451
813,M15w,Kitataiki,Yamahibiki,Tokyo,10/5/82,185,149,35.6705954,139.8411596
1405,M12w,Amuru,Onomatsu,Russia,8/25/83,192,126,35.670438,140.0347887
6559,M14w,Seiro,Shikoroyama,Mongolia,8/18/88,185,131.2,35.5891521,139.2854104
1241,M15e,Kitaharima,Yamahibiki,Hyogo,7/28/86,182,121,35.6705954,139.8411596
2842,M15w,Sadanofuji,Sakaigawa,Nagasaki,12/25/84,189,200.5,43.0382724,141.3153207
8904,M11w,Homarefuji,Isegahama,Aomori,5/6/85,180,163.7,32.413809,131.6495062
7143,M13e,Amakaze,Oguruma,Kagawa,7/7/91,184,200.5,44.6167739,142.2331405
6928,M14e,Chiyootori,Kokonoe,Kagoshima,10/11/92,179,178.5,33.2285239,131.1888843
11987,M16e,Osunaarashi,Otake,Egypt,2/10/92,189,146,34.2376953,132.2221691
7239,M14w,Kyokushuho,Tomozuna,Mongolia,8/9/88,191,149.6,33.5948329,130.3595555
11840,M15e,Chiyoo,Kokonoe,Kagoshima,5/29/91,178,149.6,33.2285239,131.1888843
6467,M13e,Toyohibiki,Sakaigawa,Yamaguchi,11/16/84,185,185.2,43.0382724,141.3153207
6572,M16e,Gagamaru,Kise,Georgia,2/23/87,185,202.6,26.5334687,127.9413748
1111,Y1e,Harumafuji,Isegahama,Mongolia,4/14/84,185,135,32.413809,131.6495062
12226,M16e,Ura,Kise,Osaka,6/22/92,172,113,26.5334687,127.9413748
4980,M15e,Sokokurai,Arashio,China,1/9/84,185,131.6,34.6432078,134.9975859
1284,M14w,Takekaze,Oguruma,Akita,6/21/79,170,144,44.6167739,142.2331405
89,M16w,Aminishiki,Isegahama,Aomori,10/3/78,186,152,32.413809,131.6495062
2832,M16e,Arawashi,Minezaki,Mongolia,8/21/86,184,122,31.9077285,131.4202196
1235,Y1e,Kisenosato,Tagonoura,Ibaraki,7/3/86,188,177,40.77555,140.5178517
11724,M9e,Takanoiwa,Chiganoura,Mongolia,2/26/90,181,145.5,35.7240504,139.8063938
5967,M11e,Yoshikaze,Oguruma,Oita,3/19/82,175,140.3,44.6167739,142.2331405
12425,M15e,Yago,Oguruma,Hokkaido,7/8/94,187,172,44.6167739,142.2331405
1227,M14w,Toyonoshima,Tokitsukaze,Kochi,6/29/83,169,149.4,35.6937382,139.7945024
12077,M17e,Takagenji,Chiganoura,Tochigi,5/13/97,186,126.2,35.7240504,139.8063938
12427,M3w,Tomokaze,Oguruma,Kanagawa,12/2/94,183,168,44.6167739,142.2331405
12144,M15e,Daishomaru,Oitekaze,Osaka,7/10/91,175,153,35.812615,139.814385
12040,M15w,Daishoho,Oitekaze,Mongolia,8/28/94,182,140,35.812615,139.814385
6468,O1w,Goeido,Sakaigawa,Osaka,4/6/86,183,158.2,43.0382724,141.3153207
6473,M10w,Tochiozan,Kasugano,Kochi,3/9/87,189,154,37.1520331,138.2314092
11723,M16e,Azumaryu,Tamanoi,Mongolia,5/12/87,192,147.2,37.5447602,140.3378622
6491,M9w,Ikioi,Isenoumi,Osaka,10/11/86,194,157,35.7256939,139.7456538
7240,M15w,Chiyomaru,Kokonoe,Kagoshima,4/17/91,178,176.3,33.2285239,131.1888843
6596,M16e,Nishikigi,Isenoumi,Iwate,8/25/90,184.5,149.5,35.7256939,139.7456538
1226,M11w,Kotoshogiku,Sadogatake,Fukuoka,1/30/84,180,177,35.7772605,139.9616965
12051,M13w,Ishiura,Miyagino,Tottori,1/10/90,173,103.6,38.2789376,140.9508565
12094,M14w,Abi,Shikoroyama,Saitama,5/4/94,185,121,35.5891521,139.2854104
6614,M15w,Shohozan,Nishonoseki,Fukuoka,2/9/84,177,134.5,35.7230517,139.9683767
8899,M16e,Kyokutaisei,Tomozuna,Hokkaido,10/18/89,184,128.2,33.5948329,130.3595555
12412,M11w,Enho,Miyagino,Ishikawa,10/18/94,169,95,38.2789376,140.9508565
